timestamp,x,y,cross_track_error
1776113215.59228,-13.02536654724848,-0.19769478781463687,0.029538769453597288
1776113215.6122708,-13.045264617821012,-0.19961627315162664,0.03500135829722785
1776113215.6324863,-13.065401160851582,-0.20140076854927166,0.04037199620575036
1776113215.652742,-13.085590972282333,-0.20303091787581642,0.04560035914963547
1776113215.6734736,-13.106267760544043,-0.20453793174694843,0.05079501481142855
1776113215.692712,-13.125465494975497,-0.2057922774222547,0.05547557134030832
1776113215.7125084,-13.145228276046668,-0.20694016096075368,0.060152838964035706
1776113215.7326338,-13.165327729699044,-0.20796067688372027,0.06476525161555177
1776113215.7528062,-13.185480978984073,-0.20883748505726848,0.06924594943040666
1776113215.7727203,-13.205381915790662,-0.20956168939178615,0.0735312249227301
1776113215.7923276,-13.22498042909894,-0.21013951100584796,0.0776182016437842
1776113215.8127537,-13.245401448948847,-0.21060092280743226,0.08173832547995938
1776113215.8329852,-13.265630399932242,-0.21091867504763892,0.08568264155140443
1776113215.8524036,-13.285048040963467,-0.2110953378212115,0.08934250513832258
1776113215.872752,-13.305396246750181,-0.2111477410032163,0.09304719341622726
1776113215.893944,-13.32658809914951,-0.21106021366380473,0.0967656855589274
1776113215.9124525,-13.345095737786849,-0.2108670583171853,0.09989836595797737
1776113215.9326966,-13.365336836766476,-0.21053333397743268,0.10320397139470926
1776113215.9527562,-13.385390994106531,-0.2100784397468608,0.1063568138285387
1776113215.9724815,-13.405108408771365,-0.20951258722844443,0.10934004499698664
1776113215.9927714,-13.425386109538078,-0.20881003190569614,0.11228938326954088
1776113216.012486,-13.445084769990812,-0.20801232578978726,0.11504116096517103
1776113216.0328453,-13.46542203764147,-0.20707165152143384,0.1177669432897953
1776113216.0526414,-13.485191748579867,-0.206045077508796,0.12030632744210171
1776113216.0724187,-13.504936023379088,-0.20491136344194166,0.12273574574158183
1776113216.0922415,-13.524720310323383,-0.2036684696968682,0.1250649417083582
1776113216.1124625,-13.544894194337113,-0.20229281577987457,0.1273334793567847
1776113216.132352,-13.564730298804255,-0.20083542233346174,0.1294609636096856
1776113216.152705,-13.585020418021834,-0.19923909913138152,0.13153328518162327
1776113216.1725066,-13.604752894539493,-0.19758604322803758,0.1334496816005576
1776113216.192936,-13.62510219661641,-0.1957793041779933,0.1353256312659731
1776113216.2131515,-13.64522941757032,-0.1938922238871336,0.13708267457505316
1776113216.2326057,-13.66458991356414,-0.1919848648039937,0.13868211757165666
1776113216.2522683,-13.684148792349356,-0.18996789460277863,0.14020934626786344
1776113216.2725396,-13.704303445881758,-0.187796518081249,0.14169163751061759
1776113216.292954,-13.7245903955172,-0.18551737721527284,0.14309166660244046
1776113216.312693,-13.744195766451002,-0.18322737866888278,0.14435864982679114
1776113216.332642,-13.7640002031386,-0.1808285906925026,0.14555434970129796
1776113216.3524902,-13.783694132178024,-0.17835958223843293,0.14666113045621737
1776113216.372917,-13.803951510913594,-0.17573467669494447,0.14771570385698488
1776113216.3922734,-13.823137391856555,-0.1731704647781636,0.14863761753474153
1776113216.4122756,-13.842952807563561,-0.1704439529446122,0.14951288938966797
1776113216.4327753,-13.863250343995547,-0.16757041620671112,0.15033008084014216
1776113216.4537053,-13.883961910691859,-0.16455586151167081,0.15108287687640365
1776113216.4727843,-13.902831463687406,-0.1617384863526524,0.1516989499183554
1776113216.494513,-13.924310089797572,-0.1584511185656849,0.15232107649929422
1776113216.512882,-13.94245794528739,-0.1556081471553034,0.15278240199630522
1776113216.5326886,-13.962015553473327,-0.15247885284719656,0.15321515119150367
1776113216.5526974,-13.981762635699553,-0.14925176534518386,0.1535857125980673
1776113216.5725968,-14.001390921858436,-0.14597840302393908,0.15388942345209916
1776113216.5926692,-14.021179331834817,-0.14261356226332284,0.15413188939285977
1776113216.6124873,-14.040706327677752,-0.13923088839108252,0.15430987999250623
1776113216.6328454,-14.060755224115034,-0.13569495997331268,0.15443080348910573
1776113216.652693,-14.08029087631584,-0.1321897505340598,0.15448980352970587
1776113216.6728983,-14.100168181517766,-0.12856415228315865,0.15449170815285868
1776113216.6938114,-14.120730979508975,-0.12475235562584998,0.1544335069671549
1776113216.7123857,-14.138984897184473,-0.12131773461678892,0.1543318372806141
1776113216.7326665,-14.158906499574396,-0.11751621150283725,0.15416862814117746
1776113216.7525136,-14.17839217304182,-0.11374555285365484,0.15395751917442724
1776113216.7737725,-14.19925309846261,-0.10965296324359122,0.15367661043455919
1776113216.7924495,-14.217571909899506,-0.10601274487489433,0.15338433432517123
1776113216.8127131,-14.23743781692435,-0.10201750466135778,0.15302055649290855
1776113216.832499,-14.256826505833459,-0.09807173455961968,0.15261976948540776
1776113216.852775,-14.276685977914973,-0.09398388304922305,0.15216372980495968
1776113216.872284,-14.295785685144612,-0.0900094859829941,0.15168289974596383
1776113216.8921328,-14.31520961293898,-0.08592571050497155,0.15115267611047398
1776113216.9126527,-14.33528207377518,-0.0816624726842046,0.15056233785869577
1776113216.932563,-14.354749442711062,-0.07748714146532995,0.14994984509089995
1776113216.9529812,-14.374705536072005,-0.07316678333007494,0.14928242301368053
1776113216.9723086,-14.39358778516266,-0.06904258087761508,0.1486151810557102
1776113216.9929175,-14.413714142765874,-0.06460902088857,0.14786696412850184
